rule_id,source,key,column,raw_value,severity,category,description,action
erp_price_non_positive,ERP,4233,price,-20.0,critical,erreur_certaine,"Un prix de vente nul, négatif ou absent n'est pas exploitable.",Mettre en quarantaine; ne pas appliquer de valeur absolue.
erp_price_non_positive,ERP,5017,price,-8.0,critical,erreur_certaine,"Un prix de vente nul, négatif ou absent n'est pas exploitable.",Mettre en quarantaine; ne pas appliquer de valeur absolue.
erp_price_non_positive,ERP,6594,price,-9.1,critical,erreur_certaine,"Un prix de vente nul, négatif ou absent n'est pas exploitable.",Mettre en quarantaine; ne pas appliquer de valeur absolue.
web_product_sku_missing,WEB,,sku_raw,,critical,erreur_certaine,Une ligne produit sans SKU ne peut pas être rapprochée.,Compléter le SKU; exclure du rapprochement sans imputation inventée.
web_product_sku_missing,WEB,,sku_raw,,critical,erreur_certaine,Une ligne produit sans SKU ne peut pas être rapprochée.,Compléter le SKU; exclure du rapprochement sans imputation inventée.
web_sales_invalid,WEB,,total_sales,-56.0,critical,erreur_certaine,Les ventes d'octobre doivent être renseignées et non négatives.,Mettre en quarantaine pour le calcul du chiffre d'affaires.
web_sales_invalid,WEB,,total_sales,-17.0,critical,erreur_certaine,Les ventes d'octobre doivent être renseignées et non négatives.,Mettre en quarantaine pour le calcul du chiffre d'affaires.
erp_marked_online_but_web_missing,RAPPROCHEMENT,4594,id_web,,high,anomalie_probable,Référence marquée en vente en ligne dans l'ERP mais absente des produits Web rapprochés.,Contrôler la publication Web et le mapping.
erp_marked_online_but_web_missing,RAPPROCHEMENT,5070,id_web,,high,anomalie_probable,Référence marquée en vente en ligne dans l'ERP mais absente des produits Web rapprochés.,Contrôler la publication Web et le mapping.
erp_marked_online_but_web_missing,RAPPROCHEMENT,5075,id_web,,high,anomalie_probable,Référence marquée en vente en ligne dans l'ERP mais absente des produits Web rapprochés.,Contrôler la publication Web et le mapping.
erp_stock_negative,ERP,4973,stock_quantity,-10,high,anomalie_probable,"Stock négatif à confirmer: correction, reliquat ou convention ERP possible.",Conserver brut et exclure des agrégats de stock jusqu'à revue métier.
erp_stock_negative,ERP,5700,stock_quantity,-1,high,anomalie_probable,"Stock négatif à confirmer: correction, reliquat ou convention ERP possible.",Conserver brut et exclure des agrégats de stock jusqu'à revue métier.
margin_negative,ANALYSE,4355,purchase_price,77.48,high,anomalie_probable,Prix d'achat supérieur au prix de vente HT sous hypothèse de TVA à 20 %.,"Confirmer unité, saisie du coût et définition de la TVA avant décision."
web_product_attachment_sales_mismatch,WEB,1366,sales_pair,product=6.0; attachment=116.0,high,anomalie_probable,Les lignes produit et pièce jointe portent des ventes différentes pour le même SKU.,Sélectionner explicitement post_type='product'; ne pas dédupliquer selon l'ordre.
web_product_attachment_sales_mismatch,WEB,14561,sales_pair,product=11.0; attachment=111.0,high,anomalie_probable,Les lignes produit et pièce jointe portent des ventes différentes pour le même SKU.,Sélectionner explicitement post_type='product'; ne pas dédupliquer selon l'ordre.
web_product_attachment_sales_mismatch,WEB,14950,sales_pair,product=22.0; attachment=122.0,high,anomalie_probable,Les lignes produit et pièce jointe portent des ventes différentes pour le même SKU.,Sélectionner explicitement post_type='product'; ne pas dédupliquer selon l'ordre.
web_product_attachment_sales_mismatch,WEB,15346,sales_pair,product=2.0; attachment=22.0,high,anomalie_probable,Les lignes produit et pièce jointe portent des ventes différentes pour le même SKU.,Sélectionner explicitement post_type='product'; ne pas dédupliquer selon l'ordre.
web_sales_while_erp_offline,RAPPROCHEMENT,4200,total_sales,14.0,high,anomalie_probable,Des ventes Web existent alors que l'ERP marque le produit hors ligne.,Contrôler la synchronisation des statuts ERP/Web.
price_high_mad,ANALYSE,4115,price,100.0,info,inhabituel_plausible,Prix élevé selon le z-score modifié MAD; un vin premium peut rester parfaitement valide.,Revue métier priorisée; aucune correction ou exclusion automatique.
price_high_mad,ANALYSE,4132,price,88.4,info,inhabituel_plausible,Prix élevé selon le z-score modifié MAD; un vin premium peut rester parfaitement valide.,Revue métier priorisée; aucune correction ou exclusion automatique.
price_high_mad,ANALYSE,4337,price,83.0,info,inhabituel_plausible,Prix élevé selon le z-score modifié MAD; un vin premium peut rester parfaitement valide.,Revue métier priorisée; aucune correction ou exclusion automatique.
price_high_mad,ANALYSE,4352,price,225.0,info,inhabituel_plausible,Prix élevé selon le z-score modifié MAD; un vin premium peut rester parfaitement valide.,Revue métier priorisée; aucune correction ou exclusion automatique.
price_high_mad,ANALYSE,4359,price,85.6,info,inhabituel_plausible,Prix élevé selon le z-score modifié MAD; un vin premium peut rester parfaitement valide.,Revue métier priorisée; aucune correction ou exclusion automatique.
price_high_mad,ANALYSE,4402,price,176.0,info,inhabituel_plausible,Prix élevé selon le z-score modifié MAD; un vin premium peut rester parfaitement valide.,Revue métier priorisée; aucune correction ou exclusion automatique.
price_high_mad,ANALYSE,4404,price,108.5,info,inhabituel_plausible,Prix élevé selon le z-score modifié MAD; un vin premium peut rester parfaitement valide.,Revue métier priorisée; aucune correction ou exclusion automatique.
price_high_mad,ANALYSE,4406,price,157.0,info,inhabituel_plausible,Prix élevé selon le z-score modifié MAD; un vin premium peut rester parfaitement valide.,Revue métier priorisée; aucune correction ou exclusion automatique.
price_high_mad,ANALYSE,4407,price,104.0,info,inhabituel_plausible,Prix élevé selon le z-score modifié MAD; un vin premium peut rester parfaitement valide.,Revue métier priorisée; aucune correction ou exclusion automatique.
price_high_mad,ANALYSE,4582,price,109.6,info,inhabituel_plausible,Prix élevé selon le z-score modifié MAD; un vin premium peut rester parfaitement valide.,Revue métier priorisée; aucune correction ou exclusion automatique.
price_high_mad,ANALYSE,4903,price,102.3,info,inhabituel_plausible,Prix élevé selon le z-score modifié MAD; un vin premium peut rester parfaitement valide.,Revue métier priorisée; aucune correction ou exclusion automatique.
price_high_mad,ANALYSE,4904,price,137.0,info,inhabituel_plausible,Prix élevé selon le z-score modifié MAD; un vin premium peut rester parfaitement valide.,Revue métier priorisée; aucune correction ou exclusion automatique.
price_high_mad,ANALYSE,5001,price,217.5,info,inhabituel_plausible,Prix élevé selon le z-score modifié MAD; un vin premium peut rester parfaitement valide.,Revue métier priorisée; aucune correction ou exclusion automatique.
price_high_mad,ANALYSE,5007,price,105.0,info,inhabituel_plausible,Prix élevé selon le z-score modifié MAD; un vin premium peut rester parfaitement valide.,Revue métier priorisée; aucune correction ou exclusion automatique.
price_high_mad,ANALYSE,5008,price,105.0,info,inhabituel_plausible,Prix élevé selon le z-score modifié MAD; un vin premium peut rester parfaitement valide.,Revue métier priorisée; aucune correction ou exclusion automatique.
