product_id,id_web,product_type,total_sales,stock_quantity,couverture_au_rythme_octobre_mois,valeur_stock_cout_ht,segment_stock
6212,13996,Vin,7.0,16,2.2857142857142856,950.72,couverture_1_a_3_mois
6201,14596,Vin,6.0,16,2.6666666666666665,916.64,couverture_1_a_3_mois
6202,15126,Vin,5.0,12,2.4,757.8,couverture_1_a_3_mois
5826,15325,Vin,20.0,34,1.7,738.14,couverture_1_a_3_mois
5008,11602,Vin,7.0,12,1.7142857142857142,677.04,couverture_1_a_3_mois
4407,3509,Cognac,5.0,14,2.8,653.94,couverture_1_a_3_mois
4647,16525,Vin,22.0,45,2.0454545454545454,636.3000000000001,couverture_1_a_3_mois
5069,15344,Vin,7.0,14,2.0,493.64,couverture_1_a_3_mois
4405,13230,Cognac,7.0,15,2.142857142857143,486.90000000000003,couverture_1_a_3_mois
4275,14864,Vin,24.0,62,2.5833333333333335,482.36,couverture_1_a_3_mois
5611,15945,Vin,8.0,14,1.75,472.36,couverture_1_a_3_mois
5563,19821,Vin,8.0,16,2.0,465.12,couverture_1_a_3_mois
4758,15859,Vin,12.0,35,2.9166666666666665,452.55,couverture_1_a_3_mois
4994,14507,Vin,6.0,11,1.8333333333333333,447.70000000000005,couverture_1_a_3_mois
6214,11601,Vin,6.0,9,1.5,446.58,couverture_1_a_3_mois
5391,14141,Vin,12.0,34,2.8333333333333335,442.0,couverture_1_a_3_mois
4573,13604,Vin,8.0,12,1.5,437.52,couverture_1_a_3_mois
5803,13572,Vin,17.0,47,2.764705882352941,431.92999999999995,couverture_1_a_3_mois
5545,14827,Vin,7.0,13,1.8571428571428572,420.55,couverture_1_a_3_mois
6567,15779,Vin,11.0,28,2.5454545454545454,410.76,couverture_1_a_3_mois
4077,15440,Vin,12.0,34,2.8333333333333335,406.29999999999995,couverture_1_a_3_mois
6041,13073,Vin,6.0,11,1.8333333333333333,399.29999999999995,couverture_1_a_3_mois
4239,16567,Vin,10.0,27,2.7,398.52,couverture_1_a_3_mois
4611,15452,Vin,11.0,29,2.6363636363636362,396.43,couverture_1_a_3_mois
6222,7032,Vin,10.0,29,2.9,383.67,couverture_1_a_3_mois
5619,15922,Vin,5.0,10,2.0,383.1,couverture_1_a_3_mois
4635,798,Vin,8.0,12,1.5,383.04,couverture_1_a_3_mois
5573,14729,Vin,12.0,22,1.8333333333333333,382.58000000000004,couverture_1_a_3_mois
5925,15351,Vin,8.0,15,1.875,375.9,couverture_1_a_3_mois
4915,15615,Vin,11.0,28,2.5454545454545454,374.64000000000004,couverture_1_a_3_mois
5969,13211,Vin,6.0,10,1.6666666666666667,374.3,couverture_1_a_3_mois
4203,15415,Vin,27.0,74,2.740740740740741,370.74,couverture_1_a_3_mois
5703,11736,Vin,10.0,23,2.3,366.84999999999997,couverture_1_a_3_mois
6109,15201,Vin,9.0,17,1.8888888888888888,358.02,couverture_1_a_3_mois
4158,16093,Vin,13.0,36,2.769230769230769,357.84,couverture_1_a_3_mois
4902,13052,Vin,8.0,15,1.875,352.95000000000005,couverture_1_a_3_mois
4901,14802,Vin,9.0,17,1.8888888888888888,352.92,couverture_1_a_3_mois
6622,15205,Vin,8.0,16,2.0,352.32,couverture_1_a_3_mois
4558,15426,Vin,9.0,23,2.5555555555555554,350.52,couverture_1_a_3_mois
5810,14429,Vin,11.0,27,2.4545454545454546,344.78999999999996,couverture_1_a_3_mois
5770,15178,Vin,10.0,19,1.9,344.46999999999997,couverture_1_a_3_mois
4672,14676,Vin,13.0,36,2.769230769230769,344.16,couverture_1_a_3_mois
5465,16034,Vin,8.0,12,1.5,343.20000000000005,couverture_1_a_3_mois
4718,15670,Vin,12.0,35,2.9166666666666665,342.29999999999995,couverture_1_a_3_mois
4913,13814,Vin,8.0,23,2.875,339.48,couverture_1_a_3_mois
5630,12365,Vin,10.0,23,2.3,336.03,couverture_1_a_3_mois
6325,15678,Vin,10.0,22,2.2,333.08000000000004,couverture_1_a_3_mois
4792,15733,Vin,12.0,29,2.4166666666666665,327.12,couverture_1_a_3_mois
7023,15891,Vin,9.0,23,2.5555555555555554,326.83000000000004,couverture_1_a_3_mois
4564,15621,Vin,10.0,28,2.8,326.48,couverture_1_a_3_mois
4071,15953,Vin,10.0,19,1.9,325.84999999999997,couverture_1_a_3_mois
6926,15845,Vin,9.0,12,1.3333333333333333,324.84000000000003,couverture_1_a_3_mois
4073,13074,Vin,4.0,8,2.0,324.8,couverture_1_a_3_mois
5968,13215,Vin,5.0,9,1.8,322.46999999999997,couverture_1_a_3_mois
4671,15527,Vin,10.0,28,2.8,316.96000000000004,couverture_1_a_3_mois
4893,15808,Vin,10.0,21,2.1,314.79,couverture_1_a_3_mois
5809,15080,Vin,11.0,32,2.909090909090909,310.72,couverture_1_a_3_mois
4132,11668,Vin,5.0,7,1.4,310.09999999999997,couverture_1_a_3_mois
5804,14955,Vin,9.0,25,2.7777777777777777,310.0,couverture_1_a_3_mois
4794,12771,Vin,9.0,14,1.5555555555555556,309.96000000000004,couverture_1_a_3_mois
6664,15661,Vin,8.0,16,2.0,308.96,couverture_1_a_3_mois
5483,15753,Vin,13.0,31,2.3846153846153846,301.01000000000005,couverture_1_a_3_mois
4784,15734,Vin,10.0,21,2.1,299.88,couverture_1_a_3_mois
6585,15434,Vin,10.0,29,2.9,298.99,couverture_1_a_3_mois
6620,16046,Vin,7.0,11,1.5714285714285714,298.54,couverture_1_a_3_mois
4656,10814,Vin,7.0,13,1.8571428571428572,297.44,couverture_1_a_3_mois
4716,15657,Vin,11.0,32,2.909090909090909,295.36,couverture_1_a_3_mois
4646,15848,Vin,10.0,27,2.7,294.03000000000003,couverture_1_a_3_mois
5896,15910,Vin,11.0,23,2.090909090909091,293.48,couverture_1_a_3_mois
4254,12203,Vin,9.0,20,2.2222222222222223,291.8,couverture_1_a_3_mois
4213,15718,Vin,6.0,10,1.6666666666666667,291.6,couverture_1_a_3_mois
4566,15457,Vin,8.0,19,2.375,290.89,couverture_1_a_3_mois
5523,15862,Vin,6.0,9,1.5,286.46999999999997,couverture_1_a_3_mois
5613,14855,Vin,11.0,28,2.5454545454545454,286.16,couverture_1_a_3_mois
4137,13209,Vin,7.0,18,2.5714285714285716,285.48,couverture_1_a_3_mois
5711,16121,Vin,10.0,23,2.3,285.2,couverture_1_a_3_mois
6226,15161,Vin,10.0,26,2.6,284.96000000000004,couverture_1_a_3_mois
4398,12641,Whisky,7.0,10,1.4285714285714286,283.9,couverture_1_a_3_mois
5801,11277,Vin,9.0,22,2.4444444444444446,283.8,couverture_1_a_3_mois
6207,16077,Vin,9.0,22,2.4444444444444446,283.58000000000004,couverture_1_a_3_mois
4048,16044,Vin,12.0,24,2.0,282.71999999999997,couverture_1_a_3_mois
5956,15895,Vin,12.0,32,2.6666666666666665,281.6,couverture_1_a_3_mois
4399,12640,Whisky,6.0,10,1.6666666666666667,281.2,couverture_1_a_3_mois
4616,14371,Vin,6.0,10,1.6666666666666667,279.8,couverture_1_a_3_mois
4918,15533,Vin,8.0,15,1.875,279.6,couverture_1_a_3_mois
4215,15480,Vin,7.0,20,2.857142857142857,279.40000000000003,couverture_1_a_3_mois
5816,15237,Vin,11.0,32,2.909090909090909,279.36,couverture_1_a_3_mois
5062,15713,Vin,9.0,12,1.3333333333333333,279.0,couverture_1_a_3_mois
4648,16262,Vin,9.0,22,2.4444444444444446,278.96,couverture_1_a_3_mois
4220,15758,Vin,18.0,48,2.6666666666666665,276.0,couverture_1_a_3_mois
4257,12476,Vin,10.0,16,1.6,275.2,couverture_1_a_3_mois
4977,14930,Vin,12.0,31,2.5833333333333335,274.04,couverture_1_a_3_mois
7025,15887,Vin,5.0,8,1.6,273.76,couverture_1_a_3_mois
6570,15706,Vin,9.0,19,2.111111111111111,272.27,couverture_1_a_3_mois
4930,16155,Vin,12.0,29,2.4166666666666665,269.99,couverture_1_a_3_mois
6204,14604,Vin,9.0,17,1.8888888888888888,269.62,couverture_1_a_3_mois
